target,Present_Price,Kms_Driven,Fuel_Type,Transmission,Owner,car_age
9.15,11.49,178982,2,1,2,8
8.62,10.3,31309,3,1,2,2
10.64,12.02,176646,2,0,2,16
14.29,17.3,91131,2,0,2,8
11.86,16.58,66543,1,0,0,19
7.01,12.76,186928,3,1,1,17
5.87,11.25,43160,1,1,0,9
16.43,22.16,167453,1,0,2,1
5.31,13.11,179808,0,1,1,12
17.79,24.73,83421,0,0,0,9
11.29,21.77,32958,0,0,0,8
7.53,9.04,153354,2,1,2,8
5.56,7.82,54841,3,0,1,9
7.33,15.75,196983,0,1,0,19
13.51,20.3,100907,1,0,1,16
18.24,20.69,127770,1,0,0,10
1.53,3.31,145659,0,0,0,8
11.26,13.37,167410,0,1,2,13
16.67,23.01,84217,1,1,1,6
4.68,5.55,66551,2,0,2,5
9.33,12.22,199581,3,0,1,3
11.31,18.19,61955,0,0,2,19
2.14,4.33,77320,2,1,2,9
19.33,24.36,18258,1,1,2,1
8.97,15.9,66079,3,1,0,14
3.87,8.51,50743,1,0,0,3
5.39,10.12,50677,2,1,1,2
14.02,20.12,139542,1,0,1,6
3.57,4.34,130562,3,0,0,20
4.37,10.09,43884,0,0,1,18
13.0,16.32,30999,1,0,0,4
6.27,10.46,123882,0,0,2,7
8.35,11.23,45013,3,1,0,12
3.0,5.12,198670,3,1,1,7
18.53,22.22,115870,0,0,0,9
10.31,14.16,45561,3,0,0,2
12.86,15.63,117489,3,1,0,12
15.89,18.46,85998,3,1,2,12
3.25,4.53,199240,3,0,1,8
5.84,10.5,102007,3,1,0,6
2.19,4.09,26386,2,0,1,1
11.23,19.61,34836,0,0,0,14
5.0,11.7,162109,0,1,1,13
6.63,10.22,7026,1,0,2,11
11.25,14.01,180124,2,0,0,13
16.01,23.27,87066,2,0,0,6
1.68,3.46,90136,2,1,1,8
5.01,8.35,159369,2,0,0,17
13.2,20.14,25022,1,0,2,10
4.33,8.2,43389,1,1,2,16
10.3,13.21,152779,0,1,1,5
7.34,13.32,170513,3,1,1,18
7.56,12.94,19913,3,0,1,6
12.88,15.19,198703,1,0,2,2
10.87,24.07,123101,3,1,0,16
16.4,24.8,142381,0,0,1,6
14.01,20.04,182968,3,1,2,7
7.64,9.25,194722,1,1,2,8
20.48,23.17,86325,1,0,2,16
13.84,17.16,91108,3,0,0,8
5.59,9.8,61149,1,1,0,9
6.22,9.51,31513,3,1,2,18
5.21,6.39,52407,1,1,1,8
15.82,17.88,67267,0,1,2,9
8.36,9.81,127949,0,0,1,13
12.42,14.06,114749,1,1,2,8
19.28,22.23,150369,3,1,0,5
6.11,12.89,139572,3,0,1,12
7.9,12.13,108928,2,0,0,20
8.2,10.01,30974,1,1,1,20
14.27,18.31,41383,2,1,0,5
5.22,7.74,44195,2,0,0,12
3.46,5.68,67505,2,1,1,11
9.73,14.79,170663,1,0,0,1
6.55,10.76,154596,0,1,1,1
3.53,3.96,106418,3,1,1,5
8.64,19.12,169693,0,1,1,13
5.09,10.45,173505,2,1,0,3
1.61,3.81,57845,3,0,2,6
15.76,24.76,147352,1,0,0,8
5.57,9.01,101474,2,0,0,10
15.72,18.23,101297,0,0,0,5
10.93,16.25,52305,3,0,2,7
7.39,9.74,162973,2,0,0,11
8.88,16.53,119017,3,0,2,9
19.75,23.96,42428,3,1,0,15
4.57,10.97,153699,2,0,1,9
9.12,15.63,143794,0,1,0,18
11.98,13.98,106446,0,0,0,15
4.64,9.28,133765,3,1,2,1
22.04,24.94,183763,0,0,1,6
13.41,18.66,188558,1,1,0,15
11.84,20.39,11890,0,1,2,13
4.0,4.45,109375,2,1,0,18
10.84,17.13,122958,0,1,0,10
11.47,14.06,19526,1,1,0,7
13.5,23.56,64105,0,0,0,10
4.98,9.04,168845,3,1,0,3
10.72,18.85,163633,3,1,0,1
6.91,8.82,60262,3,0,2,2
8.21,13.62,184566,3,1,1,11
7.78,13.65,58483,0,0,1,7
13.43,19.73,139998,1,1,1,16
3.59,8.45,30378,2,1,1,6
14.74,18.86,54763,2,0,1,2
3.25,4.98,108086,1,1,0,20
10.23,13.89,176510,3,0,0,11
11.08,19.01,110710,3,0,2,12
2.89,4.62,137187,0,1,0,11
7.61,11.21,93889,1,0,2,8
3.03,4.0,40923,2,1,1,19
8.96,10.01,108010,0,0,1,1
5.05,11.1,181634,0,0,1,20
6.69,15.71,194110,1,1,2,2
1.68,3.69,188637,2,0,0,13
11.84,18.19,112577,2,1,2,7
9.81,15.34,178598,0,0,2,14
11.81,15.02,182174,2,1,1,10
7.52,9.57,83017,2,0,1,3
12.63,23.54,194179,2,0,0,3
1.73,3.93,192207,0,1,0,11
6.7,8.96,152329,3,1,0,3
3.39,7.96,66036,0,1,2,4
2.76,3.11,149271,2,0,2,16
11.0,19.63,80299,3,1,0,14
19.43,22.41,51081,2,1,2,7
12.24,22.29,7429,3,0,1,11
12.0,14.54,40179,0,1,1,3
10.09,19.08,174944,3,0,2,15
5.82,6.86,172438,0,0,2,14
4.52,7.07,41860,3,0,0,17
10.79,19.58,91409,3,0,2,6
2.76,4.37,35991,2,1,2,13
5.65,11.09,62894,2,0,2,11
7.57,11.22,189009,1,1,2,1
6.42,14.62,99839,3,1,2,6
5.21,6.3,91014,3,0,0,3
8.02,12.8,19584,2,1,2,4
13.56,17.8,85784,0,1,2,6
3.0,4.0,95316,3,0,0,18
9.39,12.0,40501,0,0,1,11
3.99,4.77,178484,0,1,2,8
13.01,14.63,195803,3,0,2,8
10.01,12.33,104425,2,1,1,3
18.49,23.62,195060,2,1,0,14
3.25,5.22,13801,1,0,1,18
6.99,14.87,19796,1,0,0,13
14.72,22.28,178070,0,1,2,11
15.94,22.35,50910,2,0,2,2
15.18,20.29,88554,1,0,0,8
7.39,13.42,64072,2,0,1,3
7.64,14.66,106821,0,0,1,3
6.29,14.78,54933,3,1,2,18
6.49,7.77,59759,0,1,0,3
16.66,19.43,130546,1,1,2,17
12.7,20.06,104788,0,0,2,10
8.41,13.25,194376,1,0,1,5
11.85,15.38,63005,0,0,0,19
7.03,10.26,104572,2,0,1,14
10.48,13.14,197091,1,1,2,5
12.68,14.53,24485,3,1,2,19
1.82,4.5,44591,2,1,2,13
14.86,23.08,177827,2,1,2,1
6.04,14.79,80153,1,1,2,12
5.5,8.3,167471,0,1,1,16
11.73,13.1,68755,0,1,0,8
7.23,11.34,149887,1,0,1,8
13.09,15.45,29998,1,0,1,10
20.13,23.33,184418,3,0,0,19
12.89,15.91,191833,0,1,2,14
10.12,17.89,146705,3,1,0,8
4.63,8.11,24927,2,1,2,7
13.06,20.24,123109,2,1,2,12
13.78,17.53,27464,1,1,1,2
5.42,11.36,171173,0,1,0,16
13.77,23.75,121584,3,1,0,20
8.45,12.87,150421,3,0,2,7
13.42,16.13,90047,0,0,0,18
15.72,22.91,68633,2,1,1,3
3.84,8.9,43255,0,0,1,11
8.32,10.94,69642,1,1,0,18
1.78,3.15,108728,2,0,1,11
18.58,20.94,175665,0,1,1,7
6.11,6.91,109396,2,0,1,10
12.21,20.96,108005,1,1,2,12
14.71,23.75,59958,3,0,0,6
3.97,8.32,177664,2,0,2,11
10.33,15.81,145081,3,1,0,5
8.44,17.47,98063,3,0,1,13
1.65,3.23,72826,1,0,1,17
14.9,19.99,159295,0,0,0,6
5.57,12.15,27506,0,0,1,11
9.23,14.46,96304,2,1,1,14
8.56,20.82,35168,3,1,2,19
10.29,15.14,91766,1,1,0,15
8.27,11.7,198301,2,0,0,7
6.06,7.53,189486,3,0,1,14
9.61,13.07,73774,0,0,2,14
7.55,10.65,125025,3,0,0,17
5.7,9.72,52984,2,1,2,13
8.84,12.31,132577,1,0,0,8
7.04,9.92,123227,3,1,0,15
17.58,24.2,137497,2,0,1,8
3.85,4.82,13089,0,0,0,15
6.38,9.35,124884,3,0,2,3
11.64,14.92,15907,1,1,2,9
5.97,9.55,13449,3,1,0,13
15.52,20.84,159120,2,1,0,14
11.92,20.72,154441,1,0,1,14
7.93,8.88,139850,1,1,1,2
9.67,18.43,39784,1,0,0,16
10.27,16.91,169577,3,0,2,2
11.47,18.28,101749,0,1,2,12
9.83,16.97,187790,2,0,0,6
5.07,8.91,79342,1,0,2,5
3.18,4.01,169149,3,1,1,19
1.51,3.01,117145,0,0,0,6
6.23,8.51,102476,3,0,2,9
9.35,12.44,28907,1,1,0,13
4.97,7.98,183253,0,0,2,2
7.99,13.51,65017,3,0,1,16
8.23,11.42,39903,3,1,1,16
14.62,18.89,169647,2,1,0,9
14.96,19.55,159553,2,1,0,16
11.63,17.18,70055,0,0,0,12
12.65,16.35,54452,3,0,1,4
5.78,8.3,172269,3,0,0,17
13.39,21.94,153997,1,1,0,8
2.28,4.49,73730,2,0,1,2
3.22,4.81,145657,0,0,0,8
15.54,23.26,45731,3,0,2,4
3.68,4.27,27600,2,0,2,13
2.64,5.63,190571,1,0,2,15
10.71,20.23,193944,1,1,0,4
13.74,20.76,76298,3,0,2,10
2.04,4.22,153605,0,1,0,9
1.6,3.06,8221,0,1,0,4
11.68,15.16,192176,1,1,1,19
6.15,8.97,25417,3,1,2,10
20.12,23.99,23068,0,1,2,19
1.74,3.18,57604,1,0,2,6
19.12,24.95,56228,1,1,1,5
5.84,8.13,95812,0,0,2,20
4.72,5.29,143887,2,1,2,11
4.29,5.05,65679,2,0,2,12
7.37,15.78,137494,3,0,2,18
6.78,8.21,73417,0,0,1,16
2.17,4.64,58139,3,1,0,13
6.1,13.25,111564,1,0,1,6
10.41,21.75,28703,3,0,0,12
11.15,18.65,98255,0,1,0,18
16.87,21.8,150739,3,1,0,8
1.52,3.26,63271,0,0,0,17
21.23,24.94,56839,1,0,0,20
11.49,23.73,18274,2,0,0,19
10.4,18.03,50300,0,0,0,8
8.63,16.51,166736,2,0,0,19
5.58,9.16,40975,1,0,2,18
7.75,13.55,132055,0,0,0,9
4.15,10.02,62414,3,0,2,20
12.8,24.43,31249,0,1,2,13
5.28,10.81,50537,0,1,2,8
11.23,23.85,152746,2,1,1,9
3.5,4.99,65980,2,0,2,19
15.73,20.74,94327,3,1,2,14
16.64,20.04,142965,0,1,1,16
7.74,10.1,46288,2,1,2,11
14.49,18.26,165880,1,0,2,3
2.33,5.8,196058,2,1,2,11
11.87,23.26,165269,3,1,1,10
3.99,8.24,88759,0,1,1,18
4.88,8.49,22771,3,0,1,14
15.72,24.32,113532,0,1,1,7
8.88,17.32,185134,3,0,0,2
3.82,8.74,32453,2,1,2,10
8.83,10.43,165863,2,0,0,18
4.64,5.23,58883,0,0,0,19
2.76,4.09,154886,1,0,0,17
3.51,4.93,178544,1,1,0,7
10.85,17.04,26479,0,0,1,15
2.97,5.01,147639,2,1,1,12
4.67,8.79,126912,3,1,0,19
18.4,20.78,113524,1,0,2,9
20.2,24.24,185110,1,0,0,7
9.54,22.86,192250,1,0,0,8
11.29,24.39,55521,3,1,2,15
11.95,21.35,72603,3,0,2,16
13.75,21.85,141233,2,0,0,10
12.05,15.47,157745,3,0,2,16
13.2,22.31,74241,2,1,1,9
4.56,6.16,164555,3,0,2,8
3.51,4.08,129575,3,0,1,13
15.99,21.54,187500,1,0,1,12
13.75,19.03,163591,2,0,2,12
15.98,19.71,103018,1,0,2,5
9.97,11.87,142438,1,1,0,4
3.2,3.73,18253,0,0,2,13
12.58,16.98,37472,0,0,0,8
9.1,15.91,96687,3,1,1,5
5.2,6.58,155014,1,1,1,19
5.78,14.29,183834,1,1,1,7
15.66,20.71,85074,2,0,1,1
5.76,7.8,84205,2,1,2,12
10.81,15.35,160653,3,1,1,9
9.07,17.09,77583,1,1,0,12
8.8,11.89,88777,2,0,1,1
7.98,11.54,14258,1,1,2,8
14.54,17.04,129711,0,1,1,3
7.07,13.36,199227,1,1,0,17
4.83,7.91,85500,0,0,1,9
9.24,13.35,171303,3,1,2,17
14.68,22.08,105052,3,1,0,17
10.16,12.0,154265,1,1,0,10
5.75,10.32,51353,3,0,0,5
10.11,15.68,46532,1,0,1,15
9.75,24.24,105484,1,1,1,7
2.89,7.19,182405,1,0,0,4
6.33,11.44,159316,3,0,1,17
9.94,16.12,93561,0,0,0,4
9.77,23.86,110746,1,1,2,15
5.08,6.72,101099,2,1,2,4
14.37,17.56,176328,3,0,1,19
11.29,15.04,129360,3,0,2,17
12.5,17.57,75772,2,1,1,17
10.12,20.26,135479,0,0,2,17
6.4,9.5,15329,2,1,0,7
14.54,17.78,33948,1,1,2,20
11.81,22.91,173909,0,1,0,17
12.9,22.23,81170,2,1,0,15
15.73,21.74,178894,0,0,2,20
5.5,11.2,94842,2,0,1,18
17.37,20.6,175091,3,1,0,5
7.79,12.15,159861,2,0,1,17
3.05,3.63,184428,2,1,1,1
2.92,4.01,73580,1,1,1,6
10.04,13.6,178987,1,1,2,13
11.66,14.12,128021,3,0,0,15
15.91,24.34,18199,2,1,0,10
7.97,12.77,155217,2,1,1,6
2.2,5.26,113092,3,0,2,20
4.74,7.55,181022,0,1,1,3
10.72,15.32,167465,2,1,2,10
2.49,3.05,98097,0,1,0,13
4.7,6.09,192919,3,1,0,5
11.91,23.46,107995,0,0,0,17
3.59,5.71,123097,1,1,2,2
12.43,15.17,118458,1,1,0,19
14.7,17.47,163901,2,1,1,8
15.16,24.2,82115,1,0,2,8
16.86,21.94,191613,1,1,2,3
8.45,18.11,181258,0,0,2,11
11.95,15.82,179891,0,1,2,5
1.52,3.56,43096,1,1,1,17
4.64,6.22,21261,1,0,1,12
12.74,16.55,182085,2,0,2,17
14.22,23.38,106595,3,0,0,19
18.02,22.11,121146,1,0,1,1
12.16,24.64,24521,3,1,1,15
7.33,15.25,39096,3,0,2,12
2.71,3.88,89575,0,0,0,16
9.61,14.56,53200,1,0,0,10
5.76,7.87,60929,0,1,2,9
10.92,13.45,152150,3,0,0,4
20.41,23.21,68917,2,0,1,1
16.2,18.93,11476,2,1,1,3
8.78,10.05,26586,3,1,2,14
18.02,22.03,116203,2,1,0,14
8.33,18.77,14931,1,1,2,6
13.69,23.04,111858,2,1,1,13
11.23,14.77,173145,3,0,2,17
5.17,9.38,184798,0,0,1,17
6.85,13.43,144845,0,0,2,20
16.28,24.06,7922,1,1,0,9
10.87,16.13,145811,0,0,0,2
10.8,22.92,139362,1,1,0,7
14.67,17.76,153712,2,0,2,15
6.5,8.52,56751,0,1,2,18
2.26,5.2,167402,0,0,1,13
12.12,17.51,186785,0,0,0,1
7.48,9.89,63071,0,1,2,20
13.89,22.31,126332,2,1,2,10
3.98,4.8,78561,1,1,2,1
16.2,22.63,137953,2,1,2,18
9.52,14.96,146473,0,1,2,12
3.9,5.95,136366,0,1,2,11
12.25,19.66,41797,1,0,0,15
8.52,19.75,65751,1,1,2,13
9.7,11.54,124182,0,0,2,9
7.66,15.73,154464,0,0,1,12
11.61,14.36,97510,2,1,2,13
5.56,12.68,65290,1,1,0,16
11.86,16.24,36019,0,0,2,9
6.51,13.54,159872,3,1,0,5
11.46,16.03,40317,1,1,1,2
10.05,14.37,111287,3,1,0,15
13.62,16.34,128578,1,1,2,6
8.89,16.71,138904,2,1,1,15
2.96,5.91,9341,2,1,0,8
9.58,22.84,162237,3,0,2,5
18.59,22.84,146370,2,1,2,16
9.89,12.44,131385,0,0,0,4
11.54,13.5,65951,0,0,0,12
12.82,18.6,6864,3,1,2,20
5.72,11.99,32940,0,0,2,10
9.86,16.46,183416,2,1,1,9
13.6,15.21,71526,0,1,2,3
15.4,19.45,122072,3,0,1,17
12.44,16.51,184454,2,1,0,3
10.38,23.37,119131,1,1,2,5
13.39,18.94,110026,0,1,2,19
10.45,12.66,57876,0,1,2,5
10.15,14.35,65731,0,1,0,4
14.37,24.93,109709,2,1,2,18
12.59,23.22,149072,0,0,0,18
20.92,24.19,124212,3,1,1,1
3.48,5.34,23975,3,0,2,4
15.56,24.25,152631,0,0,2,6
5.9,13.6,72585,1,0,1,20
12.06,14.78,188715,0,0,2,4
2.98,4.67,51788,1,1,2,10
7.23,13.98,57341,0,1,0,14
10.23,21.4,98330,3,0,2,13
17.41,19.81,146944,0,0,2,20
7.45,13.8,138990,1,0,1,12
2.22,3.72,96039,2,0,1,3
1.92,3.26,60247,0,0,0,20
5.58,8.78,75623,0,1,1,3
5.92,7.63,188687,2,0,0,7
4.38,5.89,155966,0,0,1,2
2.95,6.21,198604,1,0,0,14
11.69,14.75,87766,0,0,0,4
2.76,4.32,71660,2,0,1,15
8.77,15.33,72558,3,1,2,9
8.43,17.3,146148,0,0,2,2
15.95,22.57,104895,1,0,1,6
6.85,15.58,23702,1,0,2,1
13.46,18.63,163698,2,0,1,11
3.26,7.05,11055,0,1,0,15
4.58,5.27,21722,3,0,2,8
2.53,5.29,167031,0,1,2,18
5.94,12.75,38138,3,0,1,11
11.52,13.28,146710,2,1,2,5
10.94,13.04,171684,0,0,2,1
11.47,20.7,120831,0,0,0,13
8.3,14.51,40730,3,0,1,20
13.87,19.85,81787,0,0,2,20
8.85,11.68,47800,2,0,0,7
13.11,16.76,140426,0,0,1,7
10.2,21.78,52816,2,0,2,14
5.66,13.82,89054,3,1,1,1
4.39,5.75,119928,3,1,1,12
8.34,10.52,86677,0,1,1,14
9.23,21.56,43296,3,1,0,18
9.67,20.98,8307,2,1,2,12
5.8,7.38,197760,1,0,2,19
16.86,23.6,46579,3,0,2,11
6.13,7.37,18654,3,0,1,11
4.62,6.68,77377,1,1,2,20
10.62,18.14,45630,1,0,0,5
4.49,10.45,168874,1,1,1,1
7.92,9.97,151368,2,1,2,13
5.72,10.88,40319,2,0,2,8
4.82,7.18,53923,2,1,0,5
5.19,6.41,82508,0,1,2,4
9.54,11.34,53636,0,0,2,4
14.15,17.48,146284,2,0,1,18
7.66,17.1,33957,3,1,0,7
2.41,5.36,55231,2,0,0,14
3.42,7.86,193178,2,0,2,9
9.51,10.94,199898,0,0,2,19
8.41,19.15,84666,3,1,2,19
5.22,7.17,142938,1,1,2,8
8.17,10.88,125250,3,1,2,2
6.76,14.1,177368,2,0,2,8
16.89,21.59,113093,0,1,1,10
13.56,23.38,71607,2,1,2,3
10.05,24.63,161175,0,0,0,19
17.15,21.83,10688,1,1,1,14
3.75,6.43,74465,1,0,1,9
13.36,15.55,154176,0,1,1,18
14.67,21.03,29999,3,1,0,2
6.48,10.65,118850,1,0,0,10
9.74,14.54,88706,0,1,0,11
16.75,24.36,161010,1,0,1,8
3.77,5.91,26638,2,1,1,16
5.84,12.56,187942,2,0,1,4
6.57,7.31,166479,1,1,1,2
4.5,10.12,155999,2,0,0,7
4.36,10.58,176811,1,0,2,10
6.34,12.69,66207,1,1,2,16
7.21,8.35,167792,3,1,1,19
6.75,13.37,91999,1,0,2,6
12.49,16.71,42053,2,0,0,5
6.56,9.25,187590,2,1,1,19
10.2,17.59,178041,3,0,0,12
6.38,14.19,191040,2,1,0,8
20.95,24.27,151980,3,0,1,4
4.77,11.65,46157,0,1,2,5
11.03,20.86,169047,3,1,0,12
10.66,22.74,177210,1,1,2,10
10.58,12.38,86889,2,1,2,16
12.62,15.78,184319,0,0,0,16
10.06,23.18,88229,3,0,0,2
17.47,19.84,113538,2,1,0,20
4.6,5.89,11867,0,1,0,17
8.61,10.9,185392,2,1,1,20
6.66,13.42,47935,2,0,1,5
15.06,19.33,58171,1,0,2,13
13.55,22.07,69692,2,0,2,10
11.57,16.06,142686,3,0,0,2
12.85,14.41,108707,2,1,1,13
9.25,11.76,84837,2,0,1,6
15.29,23.22,185867,2,1,2,1
4.77,5.49,158471,1,0,1,4
2.47,3.55,123929,2,0,1,6
8.38,18.8,37386,0,0,2,15
9.71,16.47,46916,3,0,2,4
3.22,6.57,42907,2,0,2,16
4.29,9.35,52368,1,0,0,6
9.37,13.95,135716,2,1,2,6
5.71,12.98,120834,3,0,2,5
8.93,21.04,59430,3,1,0,3
9.7,17.67,163147,3,0,0,19
12.99,17.79,165193,1,0,0,15
11.63,19.91,89625,3,1,1,18
4.95,5.96,187090,2,1,2,5
4.8,5.4,196293,3,0,1,19
14.35,21.65,73068,0,0,2,1
11.65,13.84,52161,0,1,0,5
10.17,13.23,35913,2,1,1,20
7.76,15.33,172117,0,1,1,9
11.09,14.15,89914,0,0,2,11
13.51,16.55,12632,0,0,1,2
8.22,17.2,131221,0,0,2,19
14.58,21.37,83471,3,0,1,19
19.96,24.33,78520,2,0,0,18
4.19,5.57,85814,3,0,0,1
13.96,22.3,102408,1,1,0,5
17.36,20.27,57978,3,1,0,9
19.52,23.32,197005,0,1,2,10
4.73,7.51,14582,3,0,0,16
14.05,22.18,92369,3,1,2,1
9.56,17.05,60009,0,0,1,11
4.83,9.0,46286,3,0,2,17
7.19,8.96,189642,1,1,1,10
14.07,22.63,146709,3,1,0,1
2.49,4.18,116795,2,0,1,8
15.03,18.68,180864,2,1,2,14
3.82,5.14,86367,2,1,0,6
5.17,8.68,100276,0,0,0,1
8.61,13.46,97128,0,1,2,18
9.52,11.93,192242,3,0,1,17
6.31,12.1,167758,2,1,1,2
12.87,20.91,159919,0,1,2,14
13.24,19.27,191622,3,0,2,18
11.68,21.08,51182,3,0,1,17
7.65,17.19,21117,3,1,1,5
6.48,9.41,166368,1,0,2,3
17.61,23.21,118961,3,0,0,11
3.86,4.37,148886,0,0,0,11
7.46,12.5,159707,2,0,1,13
4.88,7.65,50458,2,0,0,3
11.54,24.94,180653,3,1,2,11
7.73,17.47,40592,2,1,1,5
7.3,12.33,122976,1,1,2,4
16.35,21.63,67062,2,1,0,5
6.22,13.63,101620,3,0,1,2
2.1,4.72,164926,3,1,1,4
12.62,20.13,127911,0,0,1,3
5.76,6.69,187203,0,0,2,11
13.96,15.6,177050,3,0,0,15
7.43,14.12,77836,0,0,0,16
12.53,16.28,160128,0,0,2,17
11.36,13.67,143251,3,1,1,13
14.57,19.95,67376,1,1,2,7
8.36,19.62,35407,2,0,1,12
6.13,8.14,184178,0,0,0,3
13.83,23.4,122655,3,0,1,11
13.17,23.2,76457,3,0,1,1
15.04,19.15,159330,0,0,2,13
7.23,17.8,22813,3,0,0,20
3.52,8.54,13923,3,1,2,11
2.28,4.9,163514,1,1,1,17
9.55,13.27,24848,2,0,0,11
5.38,9.1,21354,3,0,0,18
3.19,4.53,57604,2,1,2,6
3.53,7.8,173647,0,1,0,7
12.28,15.57,70692,2,1,0,18
5.01,8.86,188515,3,0,1,8
14.45,21.57,23376,2,1,2,8
13.36,23.57,99088,2,1,1,3
9.58,21.77,94145,0,1,2,3
12.04,24.29,178207,3,0,0,19
8.01,19.18,41685,1,0,0,6
11.44,17.15,135989,3,0,0,3
12.25,20.33,16223,2,1,0,10
13.94,19.18,133160,3,1,0,19
13.71,16.92,85566,2,1,0,15
7.11,13.94,166383,2,0,1,17
16.47,24.47,155986,1,1,1,17
4.41,5.66,42024,0,0,0,18
3.1,3.9,31205,2,1,1,2
2.71,3.14,52032,0,0,2,18
4.04,7.54,172726,2,1,2,16
10.48,16.12,193009,0,0,0,19
7.31,8.18,35803,0,0,2,3
4.14,9.08,55782,2,1,0,14
2.27,4.19,100471,0,0,0,19
9.41,19.29,145865,2,1,0,17
9.78,16.04,90451,1,0,0,6
6.86,8.22,113159,1,0,2,17
1.98,4.2,119259,2,0,1,5
9.36,13.07,55896,1,1,0,16
1.96,4.31,40783,2,1,1,2
10.76,22.5,163239,1,1,1,13
9.57,13.76,61739,0,0,2,4
5.83,8.45,118835,1,0,0,13
19.46,24.81,197276,2,0,2,19
5.72,12.95,68048,2,1,1,17
3.37,8.26,28784,1,1,1,11
12.04,19.98,189322,2,1,1,6
9.0,14.68,82749,1,0,2,10
8.33,14.32,181856,3,0,1,19
1.9,3.9,101058,3,1,1,1
9.51,14.87,175141,1,0,1,13
7.58,14.08,115868,0,0,1,12
9.27,14.59,37167,0,0,2,4
3.17,7.14,125028,1,1,0,18
4.3,9.07,187735,1,0,1,15
