Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner
WagonR,2019,10.31,22.38,132064,Diesel,Dealer,Automatic,2
Baleno,2005,7.76,15.15,29434,Electric,Dealer,Manual,1
Innova,2014,8.63,14.2,76676,Electric,Dealer,Automatic,2
Creta,2009,7.48,11.44,162123,Petrol,Individual,Automatic,1
Verna,2021,4.81,8.88,5672,Electric,Dealer,Automatic,2
Fortuner,2020,8.28,10.59,149681,Electric,Individual,Manual,2
Fortuner,2012,12.9,15.58,66226,Petrol,Individual,Automatic,2
Creta,2017,9.15,11.49,178982,Electric,Dealer,Manual,2
Innova,2023,8.62,10.3,31309,Petrol,Individual,Manual,2
Baleno,2009,10.64,12.02,176646,Electric,Individual,Automatic,2
Ertiga,2017,14.29,17.3,91131,Electric,Individual,Automatic,2
Verna,2006,11.86,16.58,66543,Diesel,Dealer,Automatic,0
Swift,2008,7.01,12.76,186928,Petrol,Individual,Manual,1
Fortuner,2016,5.87,11.25,43160,Diesel,Dealer,Manual,0
Innova,2024,16.43,22.16,167453,Diesel,Dealer,Automatic,2
Innova,2013,5.31,13.11,179808,CNG,Dealer,Manual,1
Fortuner,2016,17.79,24.73,83421,CNG,Individual,Automatic,0
WagonR,2017,11.29,21.77,32958,CNG,Individual,Automatic,0
Swift,2017,7.53,9.04,153354,Electric,Individual,Manual,2
Creta,2016,5.56,7.82,54841,Petrol,Dealer,Automatic,1
Verna,2006,7.33,15.75,196983,CNG,Individual,Manual,0
Verna,2009,13.51,20.3,100907,Diesel,Individual,Automatic,1
Creta,2015,18.24,20.69,127770,Diesel,Individual,Automatic,0
i20,2017,1.53,3.31,145659,CNG,Individual,Automatic,0
Ertiga,2012,11.26,13.37,167410,CNG,Dealer,Manual,2
Baleno,2019,16.67,23.01,84217,Diesel,Dealer,Manual,1
Creta,2020,4.68,5.55,66551,Electric,Individual,Automatic,2
Fortuner,2022,9.33,12.22,199581,Petrol,Individual,Automatic,1
City,2006,11.31,18.19,61955,CNG,Dealer,Automatic,2
Baleno,2016,2.14,4.33,77320,Electric,Dealer,Manual,2
City,2024,19.33,24.36,18258,Diesel,Dealer,Manual,2
Creta,2011,8.97,15.9,66079,Petrol,Individual,Manual,0
Swift,2022,3.87,8.51,50743,Diesel,Dealer,Automatic,0
Creta,2023,5.39,10.12,50677,Electric,Dealer,Manual,1
Innova,2019,14.02,20.12,139542,Diesel,Dealer,Automatic,1
Fortuner,2005,3.57,4.34,130562,Petrol,Individual,Automatic,0
Verna,2007,4.37,10.09,43884,CNG,Individual,Automatic,1
Baleno,2021,13.0,16.32,30999,Diesel,Individual,Automatic,0
Baleno,2018,6.27,10.46,123882,CNG,Individual,Automatic,2
Innova,2013,8.35,11.23,45013,Petrol,Dealer,Manual,0
Creta,2018,3.0,5.12,198670,Petrol,Individual,Manual,1
Swift,2016,18.53,22.22,115870,CNG,Individual,Automatic,0
City,2023,10.31,14.16,45561,Petrol,Individual,Automatic,0
WagonR,2013,12.86,15.63,117489,Petrol,Individual,Manual,0
i20,2013,15.89,18.46,85998,Petrol,Dealer,Manual,2
Swift,2017,3.25,4.53,199240,Petrol,Dealer,Automatic,1
i20,2019,5.84,10.5,102007,Petrol,Dealer,Manual,0
Fortuner,2024,2.19,4.09,26386,Electric,Individual,Automatic,1
Baleno,2011,11.23,19.61,34836,CNG,Individual,Automatic,0
City,2012,5.0,11.7,162109,CNG,Dealer,Manual,1
Fortuner,2014,6.63,10.22,7026,Diesel,Dealer,Automatic,2
Baleno,2012,11.25,14.01,180124,Electric,Dealer,Automatic,0
WagonR,2019,16.01,23.27,87066,Electric,Individual,Automatic,0
WagonR,2017,1.68,3.46,90136,Electric,Individual,Manual,1
Baleno,2008,5.01,8.35,159369,Electric,Individual,Automatic,0
Baleno,2015,13.2,20.14,25022,Diesel,Individual,Automatic,2
Creta,2009,4.33,8.2,43389,Diesel,Dealer,Manual,2
Innova,2020,10.3,13.21,152779,CNG,Individual,Manual,1
Verna,2007,7.34,13.32,170513,Petrol,Individual,Manual,1
Verna,2019,7.56,12.94,19913,Petrol,Dealer,Automatic,1
Innova,2023,12.88,15.19,198703,Diesel,Individual,Automatic,2
i20,2009,10.87,24.07,123101,Petrol,Dealer,Manual,0
Creta,2019,16.4,24.8,142381,CNG,Individual,Automatic,1
i20,2018,14.01,20.04,182968,Petrol,Individual,Manual,2
WagonR,2017,7.64,9.25,194722,Diesel,Individual,Manual,2
Fortuner,2009,20.48,23.17,86325,Diesel,Dealer,Automatic,2
Ertiga,2017,13.84,17.16,91108,Petrol,Individual,Automatic,0
Innova,2016,5.59,9.8,61149,Diesel,Dealer,Manual,0
Ertiga,2007,6.22,9.51,31513,Petrol,Individual,Manual,2
WagonR,2017,5.21,6.39,52407,Diesel,Individual,Manual,1
WagonR,2016,15.82,17.88,67267,CNG,Individual,Manual,2
City,2012,8.36,9.81,127949,CNG,Individual,Automatic,1
City,2017,12.42,14.06,114749,Diesel,Individual,Manual,2
Ertiga,2020,19.28,22.23,150369,Petrol,Individual,Manual,0
Fortuner,2013,6.11,12.89,139572,Petrol,Dealer,Automatic,1
City,2005,7.9,12.13,108928,Electric,Dealer,Automatic,0
i20,2005,8.2,10.01,30974,Diesel,Dealer,Manual,1
Innova,2020,14.27,18.31,41383,Electric,Dealer,Manual,0
WagonR,2013,5.22,7.74,44195,Electric,Dealer,Automatic,0
WagonR,2014,3.46,5.68,67505,Electric,Dealer,Manual,1
City,2024,9.73,14.79,170663,Diesel,Individual,Automatic,0
Baleno,2024,6.55,10.76,154596,CNG,Dealer,Manual,1
Verna,2020,3.53,3.96,106418,Petrol,Individual,Manual,1
WagonR,2012,8.64,19.12,169693,CNG,Dealer,Manual,1
Innova,2022,5.09,10.45,173505,Electric,Dealer,Manual,0
City,2019,1.61,3.81,57845,Petrol,Individual,Automatic,2
Swift,2017,15.76,24.76,147352,Diesel,Individual,Automatic,0
Fortuner,2015,5.57,9.01,101474,Electric,Individual,Automatic,0
Ertiga,2020,15.72,18.23,101297,CNG,Dealer,Automatic,0
i20,2018,10.93,16.25,52305,Petrol,Dealer,Automatic,2
Creta,2014,7.39,9.74,162973,Electric,Individual,Automatic,0
Swift,2016,8.88,16.53,119017,Petrol,Individual,Automatic,2
Innova,2010,19.75,23.96,42428,Petrol,Dealer,Manual,0
Creta,2016,4.57,10.97,153699,Electric,Individual,Automatic,1
i20,2007,9.12,15.63,143794,CNG,Dealer,Manual,0
Baleno,2010,11.98,13.98,106446,CNG,Individual,Automatic,0
Creta,2024,4.64,9.28,133765,Petrol,Individual,Manual,2
i20,2019,22.04,24.94,183763,CNG,Dealer,Automatic,1
i20,2010,13.41,18.66,188558,Diesel,Dealer,Manual,0
WagonR,2012,11.84,20.39,11890,CNG,Individual,Manual,2
Innova,2007,4.0,4.45,109375,Electric,Individual,Manual,0
Ertiga,2015,10.84,17.13,122958,CNG,Dealer,Manual,0
Ertiga,2018,11.47,14.06,19526,Diesel,Individual,Manual,0
Ertiga,2015,13.5,23.56,64105,CNG,Dealer,Automatic,0
Ertiga,2022,4.98,9.04,168845,Petrol,Dealer,Manual,0
WagonR,2024,10.72,18.85,163633,Petrol,Dealer,Manual,0
Fortuner,2023,6.91,8.82,60262,Petrol,Individual,Automatic,2
Innova,2014,8.21,13.62,184566,Petrol,Dealer,Manual,1
Creta,2018,7.78,13.65,58483,CNG,Individual,Automatic,1
i20,2009,13.43,19.73,139998,Diesel,Individual,Manual,1
Fortuner,2019,3.59,8.45,30378,Electric,Dealer,Manual,1
Innova,2023,14.74,18.86,54763,Electric,Individual,Automatic,1
City,2005,3.25,4.98,108086,Diesel,Individual,Manual,0
Verna,2014,10.23,13.89,176510,Petrol,Dealer,Automatic,0
Fortuner,2013,11.08,19.01,110710,Petrol,Dealer,Automatic,2
Ertiga,2014,2.89,4.62,137187,CNG,Dealer,Manual,0
i20,2017,7.61,11.21,93889,Diesel,Dealer,Automatic,2
Innova,2006,3.03,4.0,40923,Electric,Dealer,Manual,1
Verna,2024,8.96,10.01,108010,CNG,Individual,Automatic,1
Fortuner,2005,5.05,11.1,181634,CNG,Dealer,Automatic,1
Innova,2023,6.69,15.71,194110,Diesel,Individual,Manual,2
Swift,2012,1.68,3.69,188637,Electric,Individual,Automatic,0
WagonR,2018,11.84,18.19,112577,Electric,Dealer,Manual,2
Fortuner,2011,9.81,15.34,178598,CNG,Dealer,Automatic,2
Verna,2015,11.81,15.02,182174,Electric,Dealer,Manual,1
City,2022,7.52,9.57,83017,Electric,Individual,Automatic,1
Baleno,2022,12.63,23.54,194179,Electric,Individual,Automatic,0
Innova,2014,1.73,3.93,192207,CNG,Individual,Manual,0
Creta,2022,6.7,8.96,152329,Petrol,Dealer,Manual,0
Fortuner,2021,3.39,7.96,66036,CNG,Individual,Manual,2
Creta,2009,2.76,3.11,149271,Electric,Individual,Automatic,2
Swift,2011,11.0,19.63,80299,Petrol,Dealer,Manual,0
Swift,2018,19.43,22.41,51081,Electric,Individual,Manual,2
WagonR,2014,12.24,22.29,7429,Petrol,Individual,Automatic,1
Innova,2022,12.0,14.54,40179,CNG,Dealer,Manual,1
Creta,2010,10.09,19.08,174944,Petrol,Individual,Automatic,2
Fortuner,2011,5.82,6.86,172438,CNG,Dealer,Automatic,2
City,2008,4.52,7.07,41860,Petrol,Individual,Automatic,0
WagonR,2019,10.79,19.58,91409,Petrol,Individual,Automatic,2
Creta,2012,2.76,4.37,35991,Electric,Individual,Manual,2
Creta,2014,5.65,11.09,62894,Electric,Dealer,Automatic,2
Innova,2024,7.57,11.22,189009,Diesel,Dealer,Manual,2
WagonR,2019,6.42,14.62,99839,Petrol,Dealer,Manual,2
Innova,2022,5.21,6.3,91014,Petrol,Dealer,Automatic,0
Ertiga,2021,8.02,12.8,19584,Electric,Individual,Manual,2
Fortuner,2019,13.56,17.8,85784,CNG,Dealer,Manual,2
Ertiga,2007,3.0,4.0,95316,Petrol,Dealer,Automatic,0
Fortuner,2014,9.39,12.0,40501,CNG,Individual,Automatic,1
Creta,2017,3.99,4.77,178484,CNG,Dealer,Manual,2
Swift,2017,13.01,14.63,195803,Petrol,Individual,Automatic,2
City,2022,10.01,12.33,104425,Electric,Individual,Manual,1
Swift,2011,18.49,23.62,195060,Electric,Dealer,Manual,0
Swift,2007,3.25,5.22,13801,Diesel,Dealer,Automatic,1
Verna,2012,6.99,14.87,19796,Diesel,Individual,Automatic,0
Fortuner,2014,14.72,22.28,178070,CNG,Individual,Manual,2
Fortuner,2023,15.94,22.35,50910,Electric,Dealer,Automatic,2
Fortuner,2017,15.18,20.29,88554,Diesel,Individual,Automatic,0
Creta,2022,7.39,13.42,64072,Electric,Dealer,Automatic,1
City,2022,7.64,14.66,106821,CNG,Dealer,Automatic,1
Fortuner,2007,6.29,14.78,54933,Petrol,Dealer,Manual,2
i20,2022,6.49,7.77,59759,CNG,Dealer,Manual,0
WagonR,2008,16.66,19.43,130546,Diesel,Individual,Manual,2
i20,2015,12.7,20.06,104788,CNG,Individual,Automatic,2
i20,2020,8.41,13.25,194376,Diesel,Individual,Automatic,1
Swift,2006,11.85,15.38,63005,CNG,Individual,Automatic,0
City,2011,7.03,10.26,104572,Electric,Individual,Automatic,1
Creta,2020,10.48,13.14,197091,Diesel,Individual,Manual,2
Swift,2006,12.68,14.53,24485,Petrol,Individual,Manual,2
Ertiga,2012,1.82,4.5,44591,Electric,Individual,Manual,2
Swift,2024,14.86,23.08,177827,Electric,Dealer,Manual,2
Fortuner,2013,6.04,14.79,80153,Diesel,Dealer,Manual,2
i20,2009,5.5,8.3,167471,CNG,Individual,Manual,1
City,2017,11.73,13.1,68755,CNG,Dealer,Manual,0
Swift,2017,7.23,11.34,149887,Diesel,Dealer,Automatic,1
Swift,2015,13.09,15.45,29998,Diesel,Dealer,Automatic,1
Ertiga,2006,20.13,23.33,184418,Petrol,Dealer,Automatic,0
Baleno,2011,12.89,15.91,191833,CNG,Dealer,Manual,2
Creta,2017,10.12,17.89,146705,Petrol,Individual,Manual,0
WagonR,2018,4.63,8.11,24927,Electric,Individual,Manual,2
i20,2013,13.06,20.24,123109,Electric,Individual,Manual,2
Verna,2023,13.78,17.53,27464,Diesel,Dealer,Manual,1
Fortuner,2009,5.42,11.36,171173,CNG,Individual,Manual,0
Verna,2005,13.77,23.75,121584,Petrol,Dealer,Manual,0
Baleno,2018,8.45,12.87,150421,Petrol,Dealer,Automatic,2
Swift,2007,13.42,16.13,90047,CNG,Individual,Automatic,0
Creta,2022,15.72,22.91,68633,Electric,Dealer,Manual,1
Fortuner,2014,3.84,8.9,43255,CNG,Individual,Automatic,1
Innova,2007,8.32,10.94,69642,Diesel,Individual,Manual,0
WagonR,2014,1.78,3.15,108728,Electric,Individual,Automatic,1
Creta,2018,18.58,20.94,175665,CNG,Individual,Manual,1
Verna,2015,6.11,6.91,109396,Electric,Dealer,Automatic,1
WagonR,2013,12.21,20.96,108005,Diesel,Dealer,Manual,2
Verna,2019,14.71,23.75,59958,Petrol,Individual,Automatic,0
Fortuner,2014,3.97,8.32,177664,Electric,Dealer,Automatic,2
Fortuner,2020,10.33,15.81,145081,Petrol,Individual,Manual,0
WagonR,2012,8.44,17.47,98063,Petrol,Individual,Automatic,1
Ertiga,2008,1.65,3.23,72826,Diesel,Individual,Automatic,1
Creta,2019,14.9,19.99,159295,CNG,Dealer,Automatic,0
Creta,2014,5.57,12.15,27506,CNG,Individual,Automatic,1
Innova,2011,9.23,14.46,96304,Electric,Individual,Manual,1
i20,2006,8.56,20.82,35168,Petrol,Dealer,Manual,2
Innova,2010,10.29,15.14,91766,Diesel,Individual,Manual,0
City,2018,8.27,11.7,198301,Electric,Individual,Automatic,0
Baleno,2011,6.06,7.53,189486,Petrol,Dealer,Automatic,1
Innova,2011,9.61,13.07,73774,CNG,Individual,Automatic,2
Verna,2008,7.55,10.65,125025,Petrol,Dealer,Automatic,0
Creta,2012,5.7,9.72,52984,Electric,Individual,Manual,2
Creta,2017,8.84,12.31,132577,Diesel,Individual,Automatic,0
i20,2010,7.04,9.92,123227,Petrol,Individual,Manual,0
Fortuner,2017,17.58,24.2,137497,Electric,Individual,Automatic,1
City,2010,3.85,4.82,13089,CNG,Dealer,Automatic,0
Innova,2022,6.38,9.35,124884,Petrol,Dealer,Automatic,2
Innova,2016,11.64,14.92,15907,Diesel,Individual,Manual,2
i20,2012,5.97,9.55,13449,Petrol,Individual,Manual,0
WagonR,2011,15.52,20.84,159120,Electric,Dealer,Manual,0
Verna,2011,11.92,20.72,154441,Diesel,Individual,Automatic,1
Baleno,2023,7.93,8.88,139850,Diesel,Individual,Manual,1
i20,2009,9.67,18.43,39784,Diesel,Individual,Automatic,0
Innova,2023,10.27,16.91,169577,Petrol,Dealer,Automatic,2
Innova,2013,11.47,18.28,101749,CNG,Dealer,Manual,2
Baleno,2019,9.83,16.97,187790,Electric,Dealer,Automatic,0
WagonR,2020,5.07,8.91,79342,Diesel,Individual,Automatic,2
Innova,2006,3.18,4.01,169149,Petrol,Dealer,Manual,1
Creta,2019,1.51,3.01,117145,CNG,Dealer,Automatic,0
Creta,2016,6.23,8.51,102476,Petrol,Individual,Automatic,2
Swift,2012,9.35,12.44,28907,Diesel,Individual,Manual,0
Swift,2023,4.97,7.98,183253,CNG,Dealer,Automatic,2
Baleno,2009,7.99,13.51,65017,Petrol,Individual,Automatic,1
Creta,2009,8.23,11.42,39903,Petrol,Dealer,Manual,1
Fortuner,2016,14.62,18.89,169647,Electric,Dealer,Manual,0
i20,2009,14.96,19.55,159553,Electric,Individual,Manual,0
WagonR,2013,11.63,17.18,70055,CNG,Dealer,Automatic,0
Verna,2021,12.65,16.35,54452,Petrol,Dealer,Automatic,1
Ertiga,2008,5.78,8.3,172269,Petrol,Individual,Automatic,0
Ertiga,2017,13.39,21.94,153997,Diesel,Individual,Manual,0
Swift,2023,2.28,4.49,73730,Electric,Individual,Automatic,1
Creta,2017,3.22,4.81,145657,CNG,Dealer,Automatic,0
Fortuner,2021,15.54,23.26,45731,Petrol,Individual,Automatic,2
Baleno,2012,3.68,4.27,27600,Electric,Dealer,Automatic,2
Swift,2010,2.64,5.63,190571,Diesel,Individual,Automatic,2
i20,2021,10.71,20.23,193944,Diesel,Individual,Manual,0
Verna,2015,13.74,20.76,76298,Petrol,Individual,Automatic,2
Creta,2016,2.04,4.22,153605,CNG,Dealer,Manual,0
Innova,2021,1.6,3.06,8221,CNG,Individual,Manual,0
Fortuner,2006,11.68,15.16,192176,Diesel,Individual,Manual,1
Baleno,2015,6.15,8.97,25417,Petrol,Dealer,Manual,2
Verna,2006,20.12,23.99,23068,CNG,Individual,Manual,2
Verna,2019,1.74,3.18,57604,Diesel,Individual,Automatic,2
Ertiga,2020,19.12,24.95,56228,Diesel,Dealer,Manual,1
Swift,2005,5.84,8.13,95812,CNG,Dealer,Automatic,2
Fortuner,2014,4.72,5.29,143887,Electric,Dealer,Manual,2
Ertiga,2013,4.29,5.05,65679,Electric,Individual,Automatic,2
Fortuner,2007,7.37,15.78,137494,Petrol,Dealer,Automatic,2
Fortuner,2009,6.78,8.21,73417,CNG,Individual,Automatic,1
WagonR,2012,2.17,4.64,58139,Petrol,Dealer,Manual,0
i20,2019,6.1,13.25,111564,Diesel,Individual,Automatic,1
Verna,2013,10.41,21.75,28703,Petrol,Dealer,Automatic,0
Swift,2007,11.15,18.65,98255,CNG,Individual,Manual,0
City,2017,16.87,21.8,150739,Petrol,Individual,Manual,0
Fortuner,2008,1.52,3.26,63271,CNG,Dealer,Automatic,0
Innova,2005,21.23,24.94,56839,Diesel,Dealer,Automatic,0
WagonR,2006,11.49,23.73,18274,Electric,Individual,Automatic,0
Creta,2017,10.4,18.03,50300,CNG,Individual,Automatic,0
Verna,2006,8.63,16.51,166736,Electric,Individual,Automatic,0
Ertiga,2007,5.58,9.16,40975,Diesel,Dealer,Automatic,2
WagonR,2016,7.75,13.55,132055,CNG,Individual,Automatic,0
Verna,2005,4.15,10.02,62414,Petrol,Individual,Automatic,2
City,2012,12.8,24.43,31249,CNG,Dealer,Manual,2
WagonR,2017,5.28,10.81,50537,CNG,Individual,Manual,2
City,2016,11.23,23.85,152746,Electric,Individual,Manual,1
Swift,2006,3.5,4.99,65980,Electric,Dealer,Automatic,2
i20,2011,15.73,20.74,94327,Petrol,Dealer,Manual,2
Baleno,2009,16.64,20.04,142965,CNG,Individual,Manual,1
Fortuner,2014,7.74,10.1,46288,Electric,Individual,Manual,2
City,2022,14.49,18.26,165880,Diesel,Individual,Automatic,2
WagonR,2014,2.33,5.8,196058,Electric,Dealer,Manual,2
WagonR,2015,11.87,23.26,165269,Petrol,Individual,Manual,1
Baleno,2007,3.99,8.24,88759,CNG,Individual,Manual,1
Baleno,2011,4.88,8.49,22771,Petrol,Dealer,Automatic,1
Fortuner,2018,15.72,24.32,113532,CNG,Individual,Manual,1
Innova,2023,8.88,17.32,185134,Petrol,Dealer,Automatic,0
Creta,2015,3.82,8.74,32453,Electric,Dealer,Manual,2
Swift,2007,8.83,10.43,165863,Electric,Dealer,Automatic,0
Fortuner,2006,4.64,5.23,58883,CNG,Individual,Automatic,0
Innova,2008,2.76,4.09,154886,Diesel,Dealer,Automatic,0
Innova,2018,3.51,4.93,178544,Diesel,Dealer,Manual,0
Baleno,2010,10.85,17.04,26479,CNG,Individual,Automatic,1
i20,2013,2.97,5.01,147639,Electric,Individual,Manual,1
Verna,2006,4.67,8.79,126912,Petrol,Dealer,Manual,0
WagonR,2016,18.4,20.78,113524,Diesel,Dealer,Automatic,2
Innova,2018,20.2,24.24,185110,Diesel,Individual,Automatic,0
WagonR,2017,9.54,22.86,192250,Diesel,Dealer,Automatic,0
Fortuner,2010,11.29,24.39,55521,Petrol,Individual,Manual,2
Baleno,2009,11.95,21.35,72603,Petrol,Individual,Automatic,2
Swift,2015,13.75,21.85,141233,Electric,Dealer,Automatic,0
Baleno,2009,12.05,15.47,157745,Petrol,Dealer,Automatic,2
Innova,2016,13.2,22.31,74241,Electric,Dealer,Manual,1
Fortuner,2017,4.56,6.16,164555,Petrol,Individual,Automatic,2
i20,2012,3.51,4.08,129575,Petrol,Individual,Automatic,1
City,2013,15.99,21.54,187500,Diesel,Individual,Automatic,1
City,2013,13.75,19.03,163591,Electric,Dealer,Automatic,2
Ertiga,2020,15.98,19.71,103018,Diesel,Dealer,Automatic,2
Swift,2021,9.97,11.87,142438,Diesel,Dealer,Manual,0
City,2012,3.2,3.73,18253,CNG,Individual,Automatic,2
City,2017,12.58,16.98,37472,CNG,Individual,Automatic,0
Verna,2020,9.1,15.91,96687,Petrol,Individual,Manual,1
City,2006,5.2,6.58,155014,Diesel,Dealer,Manual,1
Creta,2018,5.78,14.29,183834,Diesel,Dealer,Manual,1
Verna,2024,15.66,20.71,85074,Electric,Individual,Automatic,1
WagonR,2013,5.76,7.8,84205,Electric,Dealer,Manual,2
Verna,2016,10.81,15.35,160653,Petrol,Individual,Manual,1
Verna,2013,9.07,17.09,77583,Diesel,Dealer,Manual,0
Swift,2024,8.8,11.89,88777,Electric,Individual,Automatic,1
WagonR,2017,7.98,11.54,14258,Diesel,Individual,Manual,2
